n	ops	comparisons	collisions	load_factor	inserts	removes	finds	groups_total	groups_mean	groups_stdev	groups_min	groups_max
5311	5311	9103	3792	0.676302	5311	0	0	4814	1.10324	3066.6	1	2
5312	5312	9109	3797	0.676429	5312	0	0	4815	1.10322	3067.15	1	2
5313	5313	9111	3798	0.676557	5313	0	0	4815	1.10343	3068.01	1	2
5314	5314	9119	3805	0.676684	5314	0	0	4816	1.10341	3068.59	1	2
5315	5315	9131	3816	0.676811	5315	0	0	4817	1.10338	3069.16	1	2
5316	5316	9132	3816	0.676939	5316	0	0	4818	1.10336	3069.77	1	2
5317	5317	9135	3818	0.677066	5317	0	0	4819	1.10334	3070.36	1	2
5318	5318	9144	3826	0.677193	5318	0	0	4820	1.10332	3070.92	1	2
5319	5319	9146	3827	0.677321	5319	0	0	4821	1.1033	3071.47	1	2
5320	5320	9147	3827	0.677448	5320	0	0	4823	1.10305	3071.81	1	2
5321	5321	9148	3827	0.677575	5321	0	0	4824	1.10303	3072.44	1	2
5322	5322	9152	3830	0.677703	5322	0	0	4825	1.10301	3073.06	1	2
5323	5323	9158	3835	0.67783	5323	0	0	4826	1.10298	3073.67	1	2
5324	5324	9159	3835	0.677957	5324	0	0	4827	1.10296	3074.27	1	2
5325	5325	9161	3836	0.678085	5325	0	0	4828	1.10294	3074.84	1	2
5326	5326	9166	3840	0.678212	5326	0	0	4829	1.10292	3075.4	1	2
5327	5327	9168	3841	0.678339	5327	0	0	4830	1.1029	3075.95	1	2
5328	5328	9171	3843	0.678467	5328	0	0	4831	1.10288	3076.5	1	2
5329	5329	9176	3847	0.678594	5329	0	0	4832	1.10286	3077.06	1	2
5330	5330	9177	3847	0.678721	5330	0	0	4832	1.10306	3077.93	1	2
5331	5331	9181	3850	0.678849	5331	0	0	4832	1.10327	3078.5	1	2
5332	5332	9184	3852	0.678976	5332	0	0	4833	1.10325	3079.05	1	2
5333	5333	9192	3859	0.679104	5333	0	0	4834	1.10323	3079.6	1	2
5334	5334	9204	3870	0.679231	5334	0	0	4835	1.10321	3080.16	1	2
5335	5335	9207	3872	0.679358	5335	0	0	4836	1.10318	3080.73	1	2
5336	5336	9211	3875	0.679486	5336	0	0	4837	1.10316	3081.33	1	2
5337	5337	9216	3879	0.679613	5337	0	0	4838	1.10314	3081.89	1	2
5338	5338	9217	3879	0.67974	5338	0	0	4839	1.10312	3082.43	1	2
5339	5339	9226	3887	0.679868	5339	0	0	4840	1.1031	3083	1	2
5340	5340	9227	3887	0.679995	5340	0	0	4841	1.10308	3083.6	1	2
5341	5341	9229	3888	0.680122	5341	0	0	4841	1.10328	3084.46	1	2
5342	5342	9230	3888	0.68025	5342	0	0	4842	1.10326	3085.01	1	2
5343	5343	9231	3888	0.680377	5343	0	0	4843	1.10324	3085.57	1	2
5344	5344	9232	3888	0.680504	5344	0	0	4844	1.10322	3086.18	1	2
5345	5345	9241	3896	0.680632	5345	0	0	4845	1.1032	3086.78	1	2
5346	5346	9243	3897	0.680759	5346	0	0	4844	1.10363	3086.94	1	2
5347	5347	9244	3897	0.680886	5347	0	0	4845	1.10361	3087.54	1	2
5348	5348	9245	3897	0.681014	5348	0	0	4846	1.10359	3088.11	1	2
5349	5349	9249	3900	0.681141	5349	0	0	4847	1.10357	3088.68	1	2
5350	5350	9250	3900	0.681268	5350	0	0	4848	1.10355	3089.29	1	2
5351	5351	9253	3902	0.681396	5351	0	0	4849	1.10353	3089.84	1	2
5352	5352	9256	3904	0.681523	5352	0	0	4850	1.10351	3090.39	1	2
5353	5353	9257	3904	0.68165	5353	0	0	4851	1.10348	3091.03	1	2
5354	5354	9263	3909	0.681778	5354	0	0	4851	1.10369	3091.89	1	2
5355	5355	9267	3912	0.681905	5355	0	0	4852	1.10367	3092.45	1	2
5356	5356	9269	3913	0.682032	5356	0	0	4852	1.10387	3092.59	1	2
5357	5357	9272	3915	0.68216	5357	0	0	4853	1.10385	3093.18	1	2
5358	5358	9280	3922	0.682287	5358	0	0	4854	1.10383	3093.73	1	2
5359	5359	9282	3923	0.682414	5359	0	0	4854	1.10404	3094.53	1	2
5360	5360	9284	3924	0.682542	5360	0	0	4854	1.10424	3095.39	1	2
5361	5361	9285	3924	0.682669	5361	0	0	4855	1.10422	3096.03	1	2
5362	5362	9288	3926	0.682796	5362	0	0	4856	1.1042	3096.61	1	2
5363	5363	9299	3936	0.682924	5363	0	0	4857	1.10418	3097.17	1	2
5364	5364	9300	3936	0.683051	5364	0	0	4858	1.10416	3097.72	1	2
5365	5365	9301	3936	0.683178	5365	0	0	4859	1.10414	3098.29	1	2
5366	5366	9304	3938	0.683306	5366	0	0	4860	1.10412	3098.9	1	2
5367	5367	9305	3938	0.683433	5367	0	0	4861	1.10409	3099.53	1	2
5368	5368	9306	3938	0.68356	5368	0	0	4862	1.10407	3100.11	1	2
5369	5369	9307	3938	0.683688	5369	0	0	4862	1.10428	3100.95	1	2
5370	5370	9308	3938	0.683815	5370	0	0	4863	1.10426	3101.56	1	2
5371	5371	9309	3938	0.683942	5371	0	0	4864	1.10424	3102.11	1	2
5372	5372	9311	3939	0.68407	5372	0	0	4864	1.10444	3102.74	1	2
5373	5373	9312	3939	0.684197	5373	0	0	4865	1.10442	3103.29	1	2
5374	5374	9316	3942	0.684324	5374	0	0	4865	1.10462	3103.39	1	2
5375	5375	9320	3945	0.684452	5375	0	0	4866	1.1046	3103.93	1	2
5376	5376	9325	3949	0.684579	5376	0	0	4867	1.10458	3104.49	1	2
5377	5377	9328	3951	0.684707	5377	0	0	4868	1.10456	3105.05	1	2
5378	5378	9335	3957	0.684834	5378	0	0	4869	1.10454	3105.63	1	2
5379	5379	9338	3959	0.684961	5379	0	0	4870	1.10452	3106.19	1	2
